 List of relations
       Schema       |                  Name                  | Type  |   Owner
--------------------+----------------------------------------+-------+-----------
 former             | acq_forms                              | table | former
 former             | agorafobi_forms                        | table | former
 former             | anamnes_forms                          | table | former
 former             | aq_forms                               | table | former
 former             | asrs_forms                             | table | former
 former             | audit_forms                            | table | former
 former             | bocs_forms                             | table | former
 former             | bsq_forms                              | table | former
 former             | cia_forms                              | table | former
 former             | das_forms                              | table | former
 former             | dhi_forms                              | table | former
 former             | dudit_forms                            | table | former
 former             | edeq_forms                             | table | former
 former             | evaluation_forms                       | table | former
 former             | form_accesses                          | table | former
 former             | gad_forms                              | table | former
 former             | gaf_forms                              | table | former
 former             | had_forms                              | table | former
 former             | hai_forms                              | table | former
 former             | iesr_forms                             | table | former
 former             | isi_forms                              | table | former
 former             | ki_forms                               | table | former
 former             | lsas_forms                             | table | former
 former             | mdq_forms                              | table | former
 former             | mi_forms                               | table | former
 former             | migration_info                         | table | former
 former             | ocir_forms                             | table | former
 former             | pas_forms                              | table | former
 former             | patients                               | table | former
 former             | pcl_forms                              | table | former
 former             | pdsssr_forms                           | table | former
 former             | phq_forms                              | table | former
 former             | phq_forms                              | table | former
 former             | pss_forms                              | table | former
 former             | pswq_forms                             | table | former
 former             | raads_forms                            | table | former
 former             | sds_forms                              | table | former
 former             | sessions                               | table | former
 former             | sias_forms                             | table | former
 former             | smbq_forms                             | table | former
 former             | sprs_forms                             | table | former
 former             | sps_forms                              | table | former
 former             | wurs_forms                             | table | former
 former             | ybocs_forms                            | table | former
 information_schema | sql_features                           | table | postgres
 information_schema | sql_implementation_info                | table | postgres
 information_schema | sql_languages                          | table | postgres
 information_schema | sql_packages                           | table | postgres
 information_schema | sql_parts                              | table | postgres
 information_schema | sql_sizing                             | table | postgres
 information_schema | sql_sizing_profiles                    | table | postgres
 kliniken           | accounting_goals                       | table | kliniken
 kliniken           | accounting_holidays                    | table | kliniken
 kliniken           | accounting_work_spec_articles          | table | kliniken
 kliniken           | accounting_work_specs                  | table | kliniken
 kliniken           | ad_costs                               | table | kliniken
 kliniken           | appointment_types                      | table | kliniken
 kliniken           | bills                                  | table | kliniken
 kliniken           | booking_confirmation_templs            | table | kliniken
 kliniken           | clinics                                | table | kliniken
 kliniken           | customers                              | table | kliniken
 kliniken           | default_forms                          | table | kliniken
 kliniken           | employees                              | table | kliniken
 kliniken           | employment_contracts                   | table | kliniken
 kliniken           | employment_labels                      | table | kliniken
 kliniken           | employment_types                       | table | kliniken
 kliniken           | employment_types_work_spec_articles    | table | kliniken
 kliniken           | events                                 | table | kliniken
 kliniken           | external_mapping_customers             | table | kliniken
 kliniken           | external_mapping_events                | table | kliniken
 kliniken           | external_mapping_invoices              | table | kliniken
 kliniken           | external_mapping_patients              | table | kliniken
 kliniken           | external_mapping_products              | table | kliniken
 kliniken           | external_mapping_systems               | table | kliniken
 kliniken           | external_mapping_users                 | table | kliniken
